일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,조식메뉴,중식메뉴,석식메뉴,중식계,석식계,month,조식메뉴_Main,중식메뉴_Main,석식메뉴_Main
2016-02-01,월,2601,50,150,238,0.0,모닝롤/찐빵 우유/두유/주스 계란후라이 호두죽/쌀밥  된장찌개 쥐어채무침 포기김치  ,쌀밥/잡곡밥  오징어찌개 쇠불고기  계란찜 청포묵무침 요구르트 포기김치  ,쌀밥/잡곡밥  육개장 자반고등어구이 두부조림 건파래무침 포기김치  ,1039.0,331.0,2,쥐어채무침,오징어찌개,건파래무침
2016-02-02,화,2601,50,173,319,0.0,모닝롤/단호박샌드 우유/두유/주스 계란후라이 팥죽/쌀밥  호박젓국찌개 시래기조림 포기김치  ,쌀밥/잡곡밥  김치찌개 가자미튀김 모둠소세지구이 마늘쫑무침 요구르트 배추겉절이  ,콩나물밥*양념장  어묵국 유산슬  아삭고추무침 바나나 포기김치  ,867.0,560.0,2,단호박샌드,김치찌개,콩나물밥
2016-02-03,수,2601,56,180,111,0.0,모닝롤/베이글 우유/두유/주스 계란후라이 표고버섯죽/쌀밥  콩나물국 느타리호박볶음 포기김치  ,카레덮밥  팽이장국 치킨핑거  쫄면야채무침 견과류조림 요구르트 포기김치  ,쌀밥/잡곡밥  청국장찌개 황태양념구이  고기전  새송이버섯볶음 포기김치  ,1017.0,573.0,2,느타리호박볶음,견과류조림,새송이버섯볶음
2016-02-04,목,2601,104,220,355,0.0,모닝롤/토마토샌드 우유/두유/주스 계란후라이 닭죽/쌀밥  근대국 멸치볶음 포기김치  ,쌀밥/잡곡밥  쇠고기무국 주꾸미볶음 부추전 시금치나물 요구르트 포기김치  ,미니김밥*겨자장  우동 멕시칸샐러드 군고구마 무피클 포기김치  ,978.0,525.0,2,근대국,부추전,미니김밥
2016-02-05,금,2601,278,181,34,0.0,모닝롤/와플 우유/두유/주스 계란후라이 쇠고기죽/쌀밥  재첩국 방풍나물 포기김치  ,쌀밥/잡곡밥  떡국 돈육씨앗강정  우엉잡채 청경채무침 요구르트 포기김치  ,쌀밥/잡곡밥  차돌박이찌개  닭갈비  감자소세지볶음 콩나물무침 포기김치  ,925.0,330.0,2,방풍나물,돈육씨앗강정,감자소세지볶음
2016-02-11,목,2601,383,143,417,0.0,팬케익/찐빵 우유/두유/주스 계란후라이 견과류죽/쌀밥  감자찌개 명엽채무침 포기김치  ,쌀밥/잡곡밥  시래기국 훈제오리구이 도토리묵무침 쌈무/양파절임 요구르트 포기김치  ,참치회덮밥  맑은국 군만두 과일샐러드 락교 포기김치  ,1045.0,550.0,2,감자찌개,시래기국,군만두
2016-02-12,금,2601,389,156,93,0.0,모닝롤/야채샌드 우유/두유/주스 계란후라이 고구마죽/쌀밥  봄동된장국 숙주나물 포기김치  ,쌀밥/잡곡밥  꽃게탕 돈육굴소스볶음 옥수수전 유채나물 요구르트 포기김치  ,쌀밥/잡곡밥  김치콩나물국 미니함박 어묵볶음 물파래무침 깍두기  ,909.0,598.0,2,봄동된장국,유채나물,김치콩나물국
2016-02-15,월,2601,87,204,482,0.0,모닝롤/치즈프레즐 우유/두유/주스 계란후라이 잣죽/쌀밥  민물새우찌개 콩조림 포기김치  ,쌀밥/잡곡밥  시금치국 닭감자조림  연두부*양념장 콩나물무침 요구르트 포기김치  ,쌀밥/잡곡밥  홍합미역국 등갈비김치찜  임연수구이 브로컬리초장 포기김치  ,1268.0,672.0,2,콩조림,닭감자조림,임연수구이
2016-02-16,화,2601,72,236,526,0.0,모닝롤/마늘빵 우유/두유/주스 계란후라이 단호박죽/쌀밥  어묵국 김구이 포기김치  ,쌀밥/잡곡밥  쇠고기무국  탕수어  오징어숙회무침 취나물 요구르트 포기김치  ,쌀밥/잡곡밥  된장찌개 쇠불고기  해파리겨자채 봄동무침 포기김치  ,1014.0,523.0,2,단호박죽,쇠고기무국,봄동무침
2016-02-17,수,2601,78,250,23,0.0,모닝롤/참치샌드 우유/두유/주스 계란후라이 흑임자죽/쌀밥  북어계란국 무생채 포기김치  ,쌀밥/잡곡밥  냉이된장국 쇠고기장조림  통도라지구이 치커리무침 요구르트 포기김치  ,볶음밥*자장소스  맑은국 새우또띠아 쨔샤이무침 요플레 포기김치  ,916.0,588.0,2,무생채,냉이된장국,자장소스
